masuk aja nih buat by u saya ganti kartu tapi kenapa gitu ya tidak ada kaya showroomnkaya grapari yg bisa g tcoowdidizrwv	neutral
aplikasi kenapa ga bisa buka min sudah minggu loh	negative
please buat promo paket lebih murah lagi donggg masa kalah murah dari si operator kuning	negative
kenapa saya tidak bisa login	negative
gmna ga cintaa ama by u tiap bln beli yg ini	positive
pas banget lte nya bikin stress gimana mau g	negative
baik dulu jaring lu	negative
kaka gua beliin pulsa ko ga masuk sih	negative
bulan biasa habis gb an min	neutral
oooo takiro by u ku tok sing ganggu	negative
sudah bisa dari lama kalo pakai wifi my republic	neutral
tolong perbaikin layan dong	negative
ping waktu maen game minn	negative
akhir akhir ini paket unlimited rb mpbs sering nut nutan	negative
cuma d jam itu kan ka abis itu normal lagi kan	negative
minnnn masa aplikasi byu ku dari kemarin gabisa buka kenapa yaa paket ada	negative
jaring by u lagi kenapa sih	negative
sedih yaaa sampai kapan nih	negative
bebas banget	positive
yang mbps emang ada tapi promo sekitar minggu mungkin dan harga k waktu itu yang mbps k	positive
min knp ya jaring tiba ilang sudah diairplane ttp ga ada jaring	negative
t tapi gua bisa tethering kok	positive
mau tanya dong misal kalau paket unlimited saya belum jatuh tempo apakah bisa panjang	neutral
ini saya tidak bisa konek ke vpn kantor pakai jaring by u kenapa ya sedang pakai jaring lain bisa tcosabboklbf	negative
gimana sih ini buka aplikasinyanya aja loading terus tcoyzwqhusr	negative
cek dm plsa blm masuk	negative
applikasi by u gabisa akses atau emang providerku yg masalah	negative
jaringanya knp dari semalem ga bs buat apa ni	negative
kapan min buat bikin paket true unlimited buat streaming k p hdr	neutral
sudah minggu lebih aku juga tidak bisa buka spotify	negative
dari kemarin kemarin tidak bisa masuk aplikasi gimana neeh mau cek pulsa padahal internet lancar tcohixquwqr	negative
min aplikasi nya gk bisa di buka ya ini	negative
mngkn karna by u tuh kan kalau beli sim cardnya dia lgsg dianterin ke kita	neutral
sama buat game lag ping tidak stabil	negative
by u bgst saya lagi presentasi buat uas sinyal lu jelek banget sumpah tanggung jawab loo saya relain bedagang maleman malah begini ajg	negative
ada apa dengan aplikasi dari kmrn tidak bisa lho buka ipar ku mau aktifin kartu baru juga aplikasin tcozmipxded	negative
kak mau tanya kalau paket habis jyedot pulsa yang ada tidak	negative
sinyal sekarang sudah tidak kaya dulu	negative
min nomor kok ndak bisa digunain yha	negative
untuk konek toped via wifi kok sering error ya min tcopllqnj	negative
kontol biasa lag malam malam	negative
topping khusus nextflix tidak ada ya min	neutral
selamat malam saya ingin aktivasi tapi saat selesai masuk nik dan kk selalu gagal mohon cerah nya	negative
sudah tahun lebih dong	positive
knp ya suka susah banget tiap buka app lama loadingnya keburu ludes kuota	negative
beli pulsa kok ga masuk ya tconkaajfry	negative
kak please kenapa sinyal nya jelek banget tcotuywdpeew	negative
tidak niat apa buat paket malam itu doang kurang di byu kuota malam hehehe	negative
gim cara aktifasi kartu perdana byu sudah coba hubung jual tapi tidak ada balas	negative
sedih bngt ga bisa di panjang masa aktif kuota	negative
ini tolong ke apa aplikasi by u ga bisa buka yaaa	negative
samaaaa banget problemnyaa	negative
kalo lg ujan skrg sering lot	negative
ada saran cara setting internet	negative
kenapa aplikasi kalian tidak bisa buka	negative
masih lot	negative
min knp akhir ini sering hilang sinyal sampai no service jam lebih	negative
boros banget	negative
mau nanya min yg euro fantasy dari by u reward permatch day itu beneran min tcofwnhelvgc	neutral
by u kenapa gabisa login dah why	negative
eh sumpah benar bangettt dari bulan kemaren tidak si lola banget mana ngezoom ngelag mulu	negative
ini knp kok transaksi pulsa batall	negative
byu sekarang sinyal lagi susah banget ya min mengsedih	negative
min kenapa koneksi dari kemaren ga bisa buat buka netflix ya	negative
kok topping ga bisa dipake ya apa harus ada paket utama	negative
seru kalo sinyal stabil	neutral
cuma sayang makin kesini makin asoy sinyal buat buka apl bayu aja ueng ueng mulu kaya obat nyamuk	negative
saya isi pulsa tanggal kemarin sampai sekarang blm masuk	negative
kalo mau pakai kuota pak kak dia nyediain unlimited hari cuma k	positive
parah emang	negative
simcard bakal ganti tidak nin sama paket bakal ngikutin kuota yang lama atau ada kuota khusus g nanti	neutral
ken p soal ada kuota tapi nyata speednya ngikut yang mbps tidak bisa lancar kalo dinaikin	negative
min jika beli toping whatsapp	neutral
gmma ini masih gabisa login	negative
min knpa byu sya tidak bsa buka ya padahal brusan update	negative
aplikasi lagi error ya nin	negative
aplikasi u noh benerin dari kemaren eror mulu heran tcofrnsofwzzw tcotzpepeh	negative
min diri mau nanya kalau pakai paket yg unlimited	neutral
ama knp barusan tbtb ghosting lg klimaks streaming anime padahal	negative
dapat kado kuota dari nindy wkkakakakka makas nindy tcoxjmkpotnwi	positive
min kagett liat notif huhuu makaciiiii lumayan bisa buat streaming hello future nya dreamies besok tcoowbckmsoiw	positive
min ini sinyal benerin dong	negative
sumpah ya emosi banget sudah sinyal kadang harus di airplane mode dulu baru normal sekarang aplika tcorqyado	negative
knpa aplikasi di bukan forclose trus nyebelin sumph	negative
hari ini maintenance sampai kapan mau beli kuota barusan malah maintenance	negative
tau kalau sinyal by u paling stabil	positive
min aplikasi by u dari kemarin eror terus padahal mau beli paket ini gimana sudah clear cache install ulang tapi tetep aja ga bisa error terus	negative
waa samaa ampe uninstall install lagi buat mastiin	negative
ni gaada acara apa kan min mau isi pulsa kok gbisa	negative
mbps donk	neutral
by u kenapa app nya gabisa dibukaaa mo beli paketann wehhhh	negative
halo kasih jelas dong kenapa tidak bisa buka netflix	negative
ngelawak apa gimana dah kata mb s lah malah download aja stuck di kb s ibarat beli sandwich tapi c tcoixaisvlui	negative
begini terus nih tolong laaaah tcombviphdgr	negative
min gimana ni mau cek kuota jadi tidak bisa ni	negative
halah min jadi salah tcomnvtusxu	negative
min kenapa gin terus mau beli paket yaampon tcorvfvbyasw	negative
di saat ga mati lampu hujan soal sinyal ilang kaya gebetan	negative
dari dulu pakai keluh gin terus paling susaaahh buat buka aplikasi itu padahal kuota jelas jelas tcokkyrfd	negative
saya tidak bisa aktif kartu saya karena staff byu libur sabtu minggu ini provider jasa atau pns ya tcohdcujcze	negative
harga mahal kuota boros pasti	negative
min kenapa by u saya sinyal jelek kalu dimainin pubg	negative
nindy lagi ganggu kah mau beli paket kaya gin ke logout gabisa login tcoxfkqluimhc	negative
fix kalo masih gk benar internetnya	negative
kenapa emang di aku normal kok hud keane u belum update deh kalo belum update emang stuck gitu di logo gamau masuk	positive
signal km hri ini lg kenapa lot bngt sy mo nongton yutub	negative
sila coba akses aplikasi byu pakai koneksi internet provider lain ya kak	negative
paket unlimited yg ribu hilang mana min	neutral
kenapa ya by u aku gabisa buat buka instagram huhuhu	negative
km lgsg dm kendala aja nanti bakal bantu	neutral
halo kenapa ya kalau pas pakai by u ga bisa buka twitter tokopedia amp	negative
kok ga bisa aktivasii	negative
jaring dibenerin dulu min sering reconnect pas kulon nih hadeh sekali connect putus putus	negative
tambahin bts nya biar nyampe pelosok desa	neutral
kapan ya ada cowo bulshit yang ngucapin met tahun sampai maut pisah selain dari tcogtpgocbs	positive
jaring internet nya jelek banget itu juga gara gara nya mati listrik	negative
ganti hp lagi dong ke g	neutral
gb rb hari	neutral
kok tidak bisa buka aplikasi mau beli paket nih urgent	negative
sudah lanjur kecewa mas	negative
cepat baik mau duit tidak ak mau topup kuota ni	negative
dear kenapa beli kouta aku gagal opps beli merchants tidak hasil eh tapi lihat saldo link aja tcozamgjfih	negative
bayu kenapa skrg buat norren ampas banget mentok kbps tcoobukajprs	negative
by u lama lama ga worthy baru tgl kemaren isi gb ehhh lah kok ini dah habis padahal ga dipake buat yg boros tcoqvbapdlw	negative
btw kok koneksimya makin makin yah bantuin dong	negative
sumpah sinyal lu makin kesini makin gajelas	negative
aplikasi error nihh ga bisa buka payahhh	negative
sudah sampai lokasi pick up tapi kartu tidak sedia busuk tcovoykkwkc	negative
emg cacat ajm by u apalagi buat main game	negative
	
ganti ka kartu mentari	negative
sinyal byu nya harus stabil sih min	negative
ada min kuota habis pas tgl tua	neutral
byu ikut telkomsel juga	positive
mgkn ya di atas atau	neutral
min kenapa aplikasi byu susah buka	negative
min saya dari siang mau aktivasi kartu by u gagal terus	negative
ini hilang sinyal nya rutin ya lg dibutuhin ilang anjir kesel saya tolong jawab dong	negative
belum nyobaa sih min belakang ini main game ping tidak stabil	negative
abis gaji pindah haluan langsung	negative
eh ini jadi gmn bro ane baru ngalamin barusan buka web steam market aja ga bisa	negative
beneran tidak	neutral
sama punya aku juga tidak bisa buka gimana ya	negative
lempar lembing	negative
aplikasi gin knp tcovzwwuobk	negative
kemarin dari pagi internet tidak jalan sudah coba restart kali kali tetep aja gabisa	negative
halo min tolong adain kuota topping buat baca lezhin	neutral
kak kalo sim card hilang bagaimana cara biar dpt yg baru ya	neutral
di bogor ampas banget jaring ya ngab para si ping ga stabil naek tinggi haha	negative
koneksi internet saya bagus loh kak ini ajh sudah buka yg dua kali krna yg dulu ga bisa vidcall skrg juga nih sudah bbrpa kali nlp tapi gabisa tuh baru beli kuota juga di tcopkyhvbnn	negative
ga perlu kak makasih saya selalu pakai unlimited lancar jaya kok	positive
butuh mbps rb nih atau mbps rb oke lah atau mbps rb oke laah	neutral
harus hari hikdd	neutral
emang najis banget anjir	negative
gadapet thr	negative
benar bangettt kalo saya si karna pas ada thr yang itu mas ada jadi sayang aja mau beli yang baru	positive
nindy pke kartu tri dulu pas main pubg	negative
sudah update	neutral
gasabar ngrasain g nya byu dengan cepat mbps	negative
kenapa sinyal jelek sekali	negative
ini kenapaa yaa mas belum bisa buka aplikasinyaaaa besok sudah abis nih kouta w	negative
kok ga bisa buka netflix sih anjirr	negative
beuhh dicuekin uy koneksi g nya ilang nihh di tanjung duren jakbar check knp	negative
bapuk banget kl lg ujan	negative
samaa ini mau ngisi gabisa bisa	negative
bapuk kali tcospxivzskf	negative
kenapa sekarang sinyal by u agak lelet ya	negative
wkwk iya gan di daerah bekas utama di bekas utara parah banget sinyal	negative
aku juga masih forceclose mulu nah	negative
kesel banget template mulu yg keluar tcochnizxzlm	negative
cs baik lama ini adalah	positive
masa buka aplikasi aja susah banget ga bisa bisa	negative
min gin terus kenapa ya mau beli kuota susah minta ampun tcocqakhpx	negative
g di palembang kapan min	neutral
kenapa gin terus	negative
minnn kalau kartu byu ilang bisa sen kartu baru pakai nomor yang lama tidak	neutral
aku tanya lewat dm tolong balas	negative
tolong dong speed nya sesuai dengan paket mbps sedih liat nya kalau gin tcohdyhriyj	negative
waduh buka youtube p putus ya min	negative
koneksi stabil dan ping hijau adalah kunci	negative
kuota mbps itu emg signal nya h aja y min tidak g	neutral
ciee anniversary nya sama moga makin banyak promonya ya eheh tcoxuzcpeohrl	positive
halo by u saya mau ambil kartu di indomaret kok tidak keluar ya nomor invoicenya	negative
ada masalah apasih aku buka aplikasi buat beli kuota tapi ga bisa mulu ngide buka di web pc malah gin trs trs kemarin aku chat admin sampai kirim email juga ga ada ubah tcozartvtnhx	negative
saya sudah selalu beli di abang konter	neutral
gimana cara kang ini payah	negative
tidak usah saya pakai data seluler aja daripada nanti emosi saya puncak tunggu respon kalian	negative
ini knp jdi ke log out min tcoypvclgn	negative
bro eror kah kenapa tidak ngebaca sinyal internet dar tadi	negative
lagi ngapain pakai kartu seleb	neutral
boro updatean	negative
kenapa sih kalo ngasi kuota gratis gapernah bisa dipake	negative
appnya kok makin susah buka sih tcobwzskw	negative
eh knp by u ga bisa buat masuk zoom sumpah bikin panik aja ini provider	negative
min maaf mau tanya beli pulsa by u tidak bisa langsung ya tidak pakai aplikasi	negative
murah sih	positive
saat lg butuh tiba ngilang semua	negative
tidak ada paket early bird kaya telkomsel	neutral
jatah speednya berapa ini min	negative
kok ada byu nyasarr	neutral
saya mau buka apk kenapa daritadi gabisa bisa si anjir lo mau saya tetep langgan ga bales cepet	negative
dua jempol paling mantap buat jatah bulan emg	positive
bisa stabilin sinyal tidak ehm	negative
aaa byu gemes banget makasiii	positive
mau regitrasi by u no ke nyata tolak karena kata sudah ada no telkomsel pas dicheck ke galler tcothqoplbm	negative
saya punya speedy dan telkomsel sama lot suruh bubar aja	negative
beli k biar hari malah kuota tunda huft beli k cuma jam tcokizifrmj	negative
pnting banget g sih buat seseorg yg emng gampang down saya mlh mikirin orang bkan gwnya	negative
kenapa saya tidak bisa instal aplikasi by u kak padahal internal sy masih oke	negative
kouta saya yang belum masuk gimana nih	negative
apk lo aja susah buka	negative
aku baru aja ini kenapa plis panik kirain masa aktif habis apa gimana	negative
iya nih di aku lelet banget kuota masih gb juga	negative
	
siap tapi hpnya bom support g	neutral
dah mayan	positive
emang jaring paling ngaco	negative
gagal kirim terus kenapa ya kak by u tcoafwlfymfk	negative
sinyal yang benar aja nih dari siang orang lagi deadline woe	negative
kak gmn uda di respon g sm mereka	negative
makasihh yaa	neutral
gimana nih yg di ios sudah beberapa hari force close mulu	negative
kak coba cek jaring saya tiba tiba hilang	negative
sudah g	neutral
biasa gb ke atas min	neutral
min polsa byu bisa transfer ke telkomsel ga sih kalo bisa gmna cara	neutral
aku capek sama kamu	negative
hampir gb	negative
min tolong ini aplikasi kenapa tidak bisa buka yaa	negative
min ini gimana lot banget sini	negative
cman aku aja apa yg lain juga rupa ini gmna dah min lot banget tcorwqglkpqe	negative
hauuu tidak g nan dulu tiba tiba sinyal telkomsel ilang tempat aku padahal towernya dekat	negative
malam sy beli paket gb hari namun hasil speednya kecewa sekali	negative
cara nukerin u coin jdi kuota gimana	neutral
halo admin kenapa app b yu saya tidak bisa di buka	negative
bapayupu sipinyapal kapamupu jepelepek bapangepet	negative
kalau mau yg unlimited bisa pakai ini	neutral
asli enak banget lebaran dapet kuota anniversary dari by u huhuu makasih min	positive
miiiin kenapa appnya error yah gabisa buka teruss sudah hari tolongg aku gabisa beli paket	negative
darah babeh lu warna ijo sinyal gua ilang nih bangke	negative
goblok	negative
hallo admin sinyal by u kok jelek amat buat maen game ml	negative
paket byu yang jelek luar biasa otomatis beli kuota pakai provider lain	negative
masa tiap menit harus matiin data biar sinyal bagus goblog banget	negative
jaring nya benar benar bikin emosi	negative
kendala via dm agar privasi jaga makasih ghia	neutral
minggu lalu paketin masih mb skrg balik mb biasa banget slalu tinggal	negative
ini paket yang satu jam mana ya	neutral
isi pulsa dari tokped kaga soal logo di tokped kartu as	negative
hari hari jentet tcosvrcbqnlt	positive
ngapa nihhh min mau paket ga isa meleeeeee tcoiojkwrhca	negative
min kenapa isi pulsa gakbisa ngecek kuota pun gakbisa	negative
k gb huhuhu tapi kangen yg gb hari itu yg dulu	neutral
halah keluh jaring jelek agak gubris	negative
by u sinyal sangat sangat sangat buruk bulan akhir	negative
ganti aja ganti daripada ngebatin	negative
bukan cuman jakarta ini di sukabumi paket data masih gb cepat download gk sampai mb s	negative
wah parah tulang punggung komedi tidak di mention lol	neutral
byu kenapasih koneksi tumben banget ancur gin dari kmrn	negative
user yg tiap hari komplain namun tak gubris pasti tertawa baca tanya ini	negative
jaring kenapa lagi nih dari sore tidak beres	negative
asik loh pakai	positive
apa jaring super safe n sound jngan dihilangin	neutral
hari gin jangan temenan sama jaring internet yg lelet dan lot pakai kuota hemat dari telkomsel by u yg super tcoxtstuuyuq	positive
kenapa aplikasi byu saya gabisa di buka ya sudah clear data	negative
min kalau nomor byu bisa pakai di malaysia ga buat terima otp terus topup dari malaysia online tetap bisa kan makasih	neutral
cara unregister no by u saya bagaimana	neutral
cie sudah anniv ajanih kita tcoawjgtkyja	positive
min aplikasi error gabisa login	negative
aslina kamar di mangunreja signal ngaleuleup	negative
min kenaa internetnya macet ya paket semua mau	negative
min nanti kalau telkomsel masuk g	neutral
ini ke log out dari app dan gabisa log in ngapa dah	negative
sudah bisa beli by u yang bulan ribu	neutral
makasih by u asik banget nih dapat kado tcounzqwccxa	positive
mau lu apa si udh mau jam lo gada sinyal ye kocak najissss	negative
saat ini aplikasi by u di hp ku tidak dapat akses sehingga sudah lebih dua bulan tidak dapat beli pakai tcodeophpa	negative
nyaman nomor min	neutral
beb kmu kenapa beb dari siang koq down terus data internet putus g ga nyangkut	negative
eh ini paket apa anjir hahahaha sumpah gua harus belu	negative
kenapa by u gabisa buka netflix tanpa vpn dari kemarin susah banget mau nonton netflix	negative
murah tapi merah lelet	negative
nah gituuuuuuu	neutral
kenapaaaa no serviceee sihhh tcoseeshcqq	negative
apn nya apa saya pakai bawa kacau benar ping nya	negative
min coba kmu ganti akun dulu min biar ga bikin gempar	neutral
bebas main game tanpa jump ping hehehe	positive
mau lihat sisa kuota ga bisa terus	negative
ga ngitung mba aku pakai internet unlimited dari	positive
halo min ini kenapa dari kemaren muter terus ya	negative
ini gimana siii ga bisa log in tcoppjestmw	negative
bilamana sim card rusak	neutral
rumah suatu ruang yang ada kasur dan colok panjang dengan sinyal yang kencang min	neutral
iya g aja belum benar	negative
min kok by u untuk zoom ga bisa padahal kuota masih gb	negative
jarigan nya jadi jelek knpa yaa	negative
curang banget sih	negative
yg k min	neutral
knpa jadi buruk gin dahh mana kuota topping tiktok kaga potong njirr mayan bngt k sia nangisss	negative
ping lu jelek banget	negative
jaring full	positive
ganti hpnya yg mahal min	neutral
paket unlimtd yang mbps bulan sudah tidak ada ya	neutral
harus rekor ganggu aplikasi dong biar kita lebih relate	negative
halo min tolong ini banyak spam makan pulsa mulu tcomyvivqru	negative
jaring not connected sejak pagi	negative
hai min ini by u di rumah saya kok sinyal cuman g ya aku mau ada kerja jadi ganggu nih	negative
gamenya tambahin dong dari supercell kayak brawlstars atau clash royale	neutral
tapi aku pakai juga dan aneh lancar tidak tau ini kok beda sendiri	negative
makin mahal apa makin murah	neutral
bayar pakai shopeepay	neutral
tolong jangan minta saya kirim dm ya	negative
solusi adalah thetering ke tmn yang pakai operator lain	neutral
dear tolong sinyal baik di sunter tiap hari memble	negative
hahh haru aku tu makin sayang terima kasih tcodlwlcuegl	positive
maksih kado tcojzyycdo	positive
payaahhh kagak bisa diandelin sinyal lot parah konsumen kabir inimah	negative
aplikasiny error sejak kemarin mau beli paket atau cek kuota gk bisa di slain aplikasi	negative
kaget dund dapet notif nyata dari kasih kabar bahwa sudah tahun jadi lupa kapan pakai by u tam tcoexxancqjoq	positive
yang tercover wilayah crazy rich jakarta semuah	negative
byu sehat jaring ngadat mulu lelet kaya sifut	negative
kok aku ga pernah dapet happy anniversary	neutral
tempat g aja ngos ngosan min	negative
min ini ga lupa switch account	neutral
toping whatsapp bulan rp	neutral
jaring dikuatin	negative
sudah bisa gila gara tidak bisa buka aps by u	negative
dah abis ini ganti provider blacklist sinyal ilangan terus gajelas	negative
kalo sampai ini paket hilang	neutral
kenapa mau buka apps pakai jaring sendiri selalu something went wrong	negative
tidak bisa akses spotify sudah biasaaa tcokwyjnu	negative
udh app error	negative
aplikasi saya tidak bisa buka info nomor telfon dan email sudah saya kirim di dm tolong di cek	negative
pakai by u	neutral
kok aplikasi by u di play store tidak ada ya	negative
mari kita pindah operator lain	negative
sinyal aja kadang suka ilang ilang	negative
jaring nya jelek banget	negative
sulit banget buat komplain	negative
kok punya msh bisa ya	positive
masih nunggu esim nya by u	neutral
jaring internetnya busuk woy elah	negative
endingnya kurang greget	negative
kak rb mbps cepat sama kaya kuota biasa tidak	neutral
tidak stabil banget sih di cirebon	negative
pakai by u sambil nonton tns di yutub eh lagi promo by u trus tau akun by u nya post juga sungguh betul tcofzktyicm	neutral
aplikasi saya tidak bisa buka info nomor telfon dan email sudah saya kirim di dm tolong di cek	negative
min pasti kamu gabut y	neutral
besok bisa nonton hibur gratis	positive
harap kosong	negative
kenapa ya saya tidak bisa buka aplikasi nya saya mau beli paket data soal tcoojfqurzdy	negative
makin hari makin lelet	negative
kenapa pas di connect ga bisa internetan	negative
keren banget kartu ilang ganti dikirimin yang baruuu aaaa ga perlu ribet ksana kesini mantaff tconftgmjgq	positive
twitter ig yutub wa dah gt ja teroooos	neutral
nindy ini kenpa dri pagi gin mulu ya paket mo abis ini tcowqycywmh	negative
halo by u maaf nih mau tanya kenapa sekarang ga bisa play spotify ya sedang pakai operator lain lancar tcolszlicad	negative
halo kenapa kalo buka app netflix spotify dan bahkan apo by u sendiri tidak pernah bisa ya	negative
sedang ada ganggu	negative
kakak aku cuman mau bilang makasih karena sudah ngirim kuota di hari ulang tahun aku	positive
lemah ya donlod game lah eh tapi ping nya puayah sih	negative
gantung nindy ngasih gratisanya berapa	neutral
nct muk koleb sama by u ya min	neutral
kenapa sinyal ga mau g dari tadi siang	negative
by u g kapan min	neutral
help min mau cek sisa data jadi ga bisa	neutral
tolong baik server nya lot banget	negative
sudah min aq pakai dari desember ucoinnya tapi baru dikit min benerin dong aplikasi sekarang sering banget something wrong aq pakai unlimited tapi gbisa buka spotify dan pinterest	negative
indosat dong	negative
min saya habis transaksi untuk beli kuota	negative
bbrp bulan ini lg kacau banget ini si by u harus sering restart device biar bisa konek lg ke w tcoxupotlblr	negative
kalau sudah g paket unlimitednya nanti tetep max mbps min percuma dong	negative
nyari yang ada wifi nya dong	neutral
tapi tetep aja ya lelet sama konek ke server host apa makin lelet tapi noren parah sih film gb biasa jam ini hari nonstop baru beres	negative
kenapa sudah hari ini lot banget	negative
ping game bisa lebih stabil lagi	neutral
sebelllll	negative
aplikasi updatean akhir kok force close terus ya gimana saya mau paketin data kalo gin	negative
	
pernah baca di web cerita itu karna ga di sebutin hotel apa pas cek in temen ngechat nanya mana aku jwb di hotel trs dia jawab sumpah ga takut	neutral
eek sinyal kenapa ndak ada sinyal balas cepat	negative
min ngak gb aja min tcodasqffe	neutral
brisik ajg	negative
min mumpung masih sayang sama byu tpi nahan emosi komplen dong knp dipake yutuban lancar	negative
tingkat dong jangan mbps terus	negative
masih pakai kuota yang hari unlimited	neutral
ini kenapa aplikasi dari kemaren something went wrong terus yaa	negative
kalau ngk pakai vpn langsung ada notif error tcojllmtvqr	negative
ganti provider grgr lagh mlu woy asuuu la	negative
minnn kemarin aku ultah dapet kuota gratisss senenng abizzzz sudah tahun pakai	positive
g by u aja pakai main game sinyal ngelag nih	negative
blm juga genap bulan sudah gin	negative
malah suruh pakai hp lain dulu	negative
ka besok tambahin genshin impact yaa	neutral
padahal bulan lalu lancar aja buat buka apa	negative
hallo min ini knapa ga bisa login pakai semua metode yg ada yaa mau cek amp	negative
yang penting abis upgrade jangan eror lg aja	negative
min ini aplikasi kenaap ga bisa login mau beli paket kurma juga	negative
min adain kuota khusus sahur dong biar ga tekor	neutral
mau tanya ini bayu tidak ada topping untuk sms ya terus kalau k tcolmuecp	neutral
ini kenapa main game malah disconnect terus	negative
gpp nyata add paket mbps sip nindy	positive
punten kang kenape ini gin ari masih g aje tcopdmvxnxa	negative
admin nanya dong kok aplilasi by u sering banget ngga bisa akses ya tolong dong segera baik susah bngt buat ngapa ngapain kalau aplikasi masalah soal	negative
min ini kenapa ya byu jaring tidak bisa dipake sama sekali dari tadi cuma g doang	negative
makasiiiiiih happy tahun bersamaaaa tconmppxdzo	positive
tri lah ajg gewla lohhh	negative
ini loading mulu appsny kak	negative
pay pay ngomel mulu saya liat nih sudah ngomelin mola sekarang telkomsel	negative
makin hari sinyal makin huh alah	negative
lagi ganggu jaring apa gimana	negative
benerin dulu jaring woy	negative
cara untuk renti paket unlimited gmna min	neutral
pakai buat muter spotipi doang padahal pakai acara buper putus putus segala smh smh smh smh	negative
aplikasi saya tidak bisa buka info nomor telfon dan email sudah saya kirim di dm tolong di cek	negative
halo kak aplikasi apakah sedang trouble ya kok tiap buka keluar terus padahal belum buka	negative
iyaa sih tapi masa tiap mau play spotify kudu restart hp	negative
byu ini gimana ya cara buat nambah cepat internet nya lama capek juga pakai byu	negative
apakah balikpapan sudah g untuk by u	neutral
haduhh kenapa sih apk nya error mulu	negative
tingkatin dulu kualitas g di semua wilayah	negative
beberapa komentar di sini bikin ngakak karena polos mereka tapi ada yang bikin tuju naikin cepat unlimited nya	neutral
gimana nih dari kemarin ga bisa terus tcowjrgxzolay tcoccqmjqua	negative
pusing yaa mana lgi nugas	negative
mau juga ganti provider tapi yg lain lebih busuk lagi drpd ini yg kata mah sinyal paling oke	negative
miiin apk nya gabisa buka jaring lot	negative
buat streaming netflix atau ga viu yutub juga buat nemenin kerja hahahahah	positive
min tolong cok pen pus rank aj sinyal jemping dri semalem elah	negative
ni si goblok nih ngaku satu provider sama tsel promo kuota banyak pas dipake sinyal ancur ancuran	negative
aku pakai byu hampir th gada bonus juga	neutral
emang murah ya	neutral
kalo ribu rupiah buat tahun baru saya pindah ke by u hahaha rb hari sih yg lain juga bisa kasih ke tcojyompuf	neutral
kalau kasih rate ya	positive
ini kenapa ya kok ga ada signal	negative
by u buat buka quora ga bisa buka foto di twitter jugaa loading nya lamaaa	negative
min kartu by u aku telah d registrasi ko g ada kuota	negative
benar banget kenapa nih sinyal dua hari jelek tbtb ilang tbtb mati data	negative
aplikasi lagi kenapa sih sudah beberapa hari gabisa login something wen t wrong terus ada yang gin juga ngga	negative
anehh sinyal kek tai	negative
sinyal aja ilang ilangan	negative
sinyal nya dulu woiiiiii yang g aja masih lot sudah mau g	negative
tidak tidak sinyal di rumah saya jelek banget padahal awal bagus lancar jaya	negative
kok kaga bisa buka instagram sih	negative
sekarang tweetnya sudah hapus semua kemarin tidak sempet ss	neutral
sudah bisa telah pancing pakai vpn	neutral
paket kutoa gb aja sama ngga bisa akes tokped	negative
hmm buka app aja tulis something went wrong mulu	negative
yg gb habis hari gegara wfh	neutral
thread fantasy euro mana	neutral
